"","X","SurveyID","SurveyName","Surveyyear","Season","Description","ID","Intid","Rand","Firingorder","Strat","Stratname","Stratmoose","StratTracks","Strathab","Selected","Counted","UnitID","GMU","AreaMi","centrlat","centrlon","BULL_30_40","BULL_30_50","BULL_41_50","BULL_GT_50","BULL_GTE_50","BULL_LT_30","CALF","COW_W_0","COW_W_1","COW_W_2","COW_W_3","LG_BULL","MED_BULL","UNKNOWN","YBULL_ALL","YBULL_GTSF","YBULL_SF","totalmoose","TotalAdults","TotalCows","TotalBulls","TotalCalves","datecounted","searchmin","comments","ELEV_MEAN","xcoords","ycoords"
"1",1,11,"20E TOK EAST",1998,"Fall","TOK EAST","6350-14145",NA,0.150132461,180,"H","HIGH",NA,NA,NA,0,1,"6350-14145","20E",5.882,63.85,-141.7917,1,0,1,2,0,0,0,17,2,1,0,0,0,0,0,2,0,30,26,20,6,4,NA,NA,NA,986.5625,125.517880166841,136.921900007473
"2",66,11,"20E TOK EAST",1998,"Fall","TOK EAST","6314-14125",NA,0.406838773,457,"L","LOW",NA,NA,NA,0,0,"6314-14125","20E",6.006,63.25,-141.4583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,945.9333,142.882547611491,70.2657421214758
"3",103,11,"20E TOK EAST",1998,"Fall","TOK EAST","6342-14210",NA,0.382228825,428,"L","LOW",NA,NA,NA,0,0,"6342-14210","20E",5.909,63.7167,-142.2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,1067.4375,105.072935974739,121.943812591185
"4",127,11,"20E TOK EAST",1998,"Fall","TOK EAST","6344-14115",NA,0.901114377,974,"L","LOW",NA,NA,NA,0,0,"6344-14115","20E",5.902,63.75,-141.2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,990,150.295437962985,126.105499314144
"5",174,11,"20E TOK EAST",1998,"Fall","TOK EAST","6312-14115",NA,0.787471914,861,"L","LOW",NA,NA,NA,0,0,"6312-14115","20E",6.013,63.2167,-141.2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,909.6875,151.311908812778,66.6877017933736
"6",205,11,"20E TOK EAST",1998,"Fall","TOK EAST","6340-14205",NA,0.75539325,825,"L","LOW",NA,NA,NA,0,0,"6340-14205","20E",5.916,63.6833,-142.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,845.3125,109.203925769709,118.236230856302
"7",362,11,"20E TOK EAST",1998,"Fall","TOK EAST","6314-14205",NA,0.276853897,316,"L","LOW",NA,NA,NA,0,0,"6314-14205","20E",6.006,63.25,-142.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,838.2,109.401429081628,69.9550809334367
"8",366,11,"20E TOK EAST",1998,"Fall","TOK EAST","6314-14200",NA,0.701360913,777,"L","LOW",NA,NA,NA,0,0,"6314-14200","20E",6.006,63.25,-142.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,738,113.584798834399,69.9748770497348
"9",415,11,"20E TOK EAST",1998,"Fall","TOK EAST","6316-14130",NA,0.0513076,74,"L","LOW",NA,NA,NA,0,0,"6316-14130","20E",5.999,63.2833,-141.5417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,798.7333,138.645530967463,73.9180248704236
"10",503,11,"20E TOK EAST",1998,"Fall","TOK EAST","6318-14205",NA,0.451882702,506,"L","LOW",NA,NA,NA,0,0,"6318-14205","20E",5.992,63.3167,-142.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,716.8,109.371075867389,77.3870419230405
